sentence                                                                 output                                                                                         answer                                                                                         edit distance
-----------------------------------------------------------------------  ---------------------------------------------------------------------------------------------  -------------------------------------------------------------------------------------------  ---------------
山梨県富士吉田市は２６日、富士山が頂上から真ん中ぐらいまで雪で白くなったと発表しました                              やまなしけんとみさむらいきちたしはにじゅうろくにち、ふじさんがちょうじょうからまんなかぐらいまでゆきではくくなったとはっぴょうしました                            やまなしけんふじよしだしは２６にち、ふじさんがちょうじょうからまんなかぐらいまでゆきでしろくなったとはっぴょうしました                                               26
今年は去年より１か月ぐらい遅く雪が積もったきれいな富士山が見えました                                       ことしはきょねんよりいっかげつぐらいおそくゆきがせきもったきれいなふじさんがみえ(見栄,見え)ました                                             ことしはきょねんより１かげつぐらいおそくゆきがつもったきれいなふじさんがみえました                                                                 13
気象台は今月２３日に、富士山の上が少し白くなったと発表しましたが、雪はあまり多くありませんでした                         きしょうだいはこんげつにじゅうさんにちに、ふじさんのじょうがすこしはくくなったとはっぴょうしましたが、ゆきはあまりおおくありませんでした                           きしょうだいはこんげつ２３にちに、ふじさんのうえがすこししろくなったとはっぴょうしましたが、ゆきはあまりおおくありませんでした                                           15
富士山がよく見える公園には、観光に来た人などが集まって、雪で白くなった富士山と一緒に写真を撮っていました                     ふじさんがよくまみえるこうえんには、かんこうにらいたひとなどがしゅうまって、ゆきではくくなったふじさんといっしょにしゃしんを撮っていました                          ふじさんがよくみえるこうえんには、かんこうにきたひとなどがあつまって、ゆきでしろくなったふじさんといっしょにしゃしんをとっていました                                        15
埼玉県から来た７０歳ぐらいの男性は「富士山は雪で白くなったほうが美しいですね」と話していました                          さいたまけんかららいたしち０とせぐらいのだんせいは「ふじさんはゆきではくくなったほうがうつくしいですね」とはなししていました                                 さいたまけんからきた７０さいぐらいのだんせいは「ふじさんはゆきでしろくなったほうがうつくしいですね」とはなしていました                                               15
２８日、東京の市ヶ谷に「東京アニメセンター」がオープンしました                                          にじゅうはちにち、とうきょうのしヶたにに「とうきょうあにめせンたー」がおーぷンしました                                                    ２８にち、とうきょうのいちがやに「とうきょうアニメセンター」がオープンしました                                                                   30
アニメの会社の団体と印刷会社が日本のアニメをもっと知ってほしいと考えてつくりました                                あにめのかいしゃのだんたいといんさつかいしゃがにほんのあにめをもっとちってほしいとかんがえてつくりました                                           アニメのかいしゃのだんたいといんさつがいしゃがにっぽんのアニメをもっとしってほしいとかんがえてつくりました                                                     19
このセンターでは、アニメのキャラクターと一緒に写真を撮ることができます                                      このせンたーでは、あにめのきャらくたーといっしょにしゃしんをとることができます                                                        このセンターでは、アニメのキャラクターといっしょにしゃしんをとることができます                                                                   18
昔人気があったアニメを作るときに使った絵を見ることもできます                                           むかしひとけがあったあにめをつくるときにしったえをみることもできます                                                             むかしにんきがあったアニメをつくるときにつかったえをみることもできます                                                                       15
アニメや漫画を作ることに興味を持ってもらうため、絵をかくときに使う新しい機械を使ってみるコーナーもあります                    あにめやまんがをつくることにきょうみを持ってもらうため、えをかく(絵を描く,絵を書く,絵をかく)ときにつかうあたらしいきかいをしってみるこーなーもあります                  アニメやまんがをつくることにきょうみをもってもらうため、えをかくときにつかうあたらしいきかいをつかってみるコーナーもあります                                            31
アニメを作る人を育てるため、プロの人がインターネットで絵のかき方などを教える講義も行うことにしています                      あにめをつくるひとをそだてるため、ぷろのひとがいンたーねッとでえのかきさまなどをおしえるこうぎもおこなうことにしています                                   アニメをつくるひとをそだてるため、プロのひとがインターネットでえのかきかたなどをおしえるこうぎもおこなうことにしています                                              22
印刷会社の人は「日本のアニメは外国でも人気があります                                               いんさつかいしゃのひとは「ひほんのあにめはがいこくでもひとけがあります                                                            いんさつがいしゃのひとは「にっぽんのアニメはがいこくでもにんきがあります                                                                      19
このセンターからアニメの文化を伝えたいです」と話しています                                            このせンたーからあにめのぶんかをつたえたいです」とはなししています                                                              このセンターからアニメのぶんかをつたえたいです」とはなしています                                                                          11
カナダでフィギュアスケートの大会があって、日本の宇野昌磨選手が優勝しました                                    かなだでふィぎュあすけーとのたいかいがあって、にほんののきの昌磨せんしゅがゆうしょうしました                                                 カナダでフィギュアスケートのたいかいがあって、にっぽんのうのしょうませんしゅがゆうしょうしました                                                          30
宇野選手には、来年のピョンチャンオリンピックでメダルを取ってほしいとたくさんの人が期待しています                         のきやせんてには、らいねんのぴョンちャンおりンぴッくでめだるをとってほしいとたくさんのひとがきたいしています                                         うのせんしゅには、らいねんのピョンチャンオリンピックでメダルをとってほしいとたくさんのひとがきたいしています                                                    24
宇野選手は、ショートプログラムの試合で１番になって、１０月２８日はフリーの試合がありました                            のきやせんては、しョーとぷろぐらむの試あいでいちばんになって、じゅうがつにじゅうはちにちはふりーの試あいがありました                                     うのせんしゅは、ショートプログラムのしあいで１ばんになって、１０がつ２８にちはフリーのしあいがありました                                                      44
宇野選手は最初に、新しく飛ぶことができるようになった４回転ループというジャンプをきれいに飛びました                        のきやせんてはさいはつに、あたらしくとぶことができるようになったしかいてんるーぷというじャンぷをきれいにとびました                                      うのせんしゅはさいしょに、あたらしくとぶことができるようになった４かいてんループというジャンプをきれいにとびました                                                 20
そのあとはミスもありましたが、続けて飛ぶジャンプは全部うまくいって高い点を取りました                               そのあとはみすもありましたが、つづけてとぶじャンぷはぜんぶうまくいってたかいぽちをどりました                                                 そのあとはミスもありましたが、つづけてとぶジャンプはぜんぶうまくいってたかいてんをとりました                                                            14
フリーの試合でも１番で、全部で３０１．１０点を取って優勝しました                                         ふりーの試あいでもいちばんで、ぜんぶでさん０いち．いち０ぽちをとってゆうしょうしました                                                    フリーのしあいでも１ばんで、ぜんぶで３０１．１０てんをとってゆうしょうしました                                                                   22
２番の選手より４０点ぐらい高い点でした                                                      にばんのせんしゅよりし０ぽちぐらいたかいぽちでした                                                                      ２ばんのせんしゅより４０てんぐらいたかいてんでした                                                                                 12
宇野選手は、１１月にフランスで開かれる大会に出る予定です                                             のきやせんては、じゅういちがつにふらンすでひらかれるたいかいにでるよていです                                                         うのせんしゅは、１１がつにフランスでひらかれるたいかいにでるよていです                                                                       19
群馬県大泉町は人口４万２０００人で、この中の４０００人以上が日系ブラジル人などのブラジル人です                          ぐんまけんおおいいずみまちはじんこうしまんアル０００ひとで、このうちのし０００ひといじょうがにっけいブらじるひとなどのブらじるひとです                            ぐんまけんおおいずみまちはじんこう４まん２０００にんで、このなかの４０００にんいじょうがにっけいブラジルじんなどのブラジルじんです                                         36
日系ブラジル人は親や祖父などが日本人です                                                     にっけいブらじるひとはおややそふなどがにほんじんです                                                                     にっけいブラジルじんはおややそふなどがにっぽんじんです                                                                               11
大泉町は町のよさを知ってもらいたいと考えて、サンバの音楽や踊りを楽しむイベントを毎年開いています                         おおいいずみまちはまちのよさをちってもらいたいとかんがえて、さンバのおんがくやおどりをたのしむいベンとをまいとし開いています                                 おおいずみまちはまちのよさをしってもらいたいとかんがえて、サンバのおんがくやおどりをたのしむイベントをまいとしひらいています                                            12
今年は１０月２９日にイベントがあって、４つのチームが踊ったり演奏したりしました                                  ことしはじゅうがつにじゅうくにちにいベンとがあって、よっつのちーむが踊ったりえんそうしたりしました                                              ことしは１０がつ２９にちにイベントがあって、４つのチームがおどったりえんそうしたりしました                                                             26
